campaign_id,industry,marketing_channel,ad_spend,duration,target_audience,region,device,operating_system,browser,engagement_metric,conversion_rate,success,budget_allocation,audience_reach,device_conversion_rate,os_conversion_rate,browser_conversion_rate
177,finance,search engine,37368,68,18-34,Europe,desktop,iOS,Safari,262830,0.150626379,1,549.5294118,262830,90%,90%,70%
179,technology,search engine,12369,76,55+,North America,mobile,iOS,Chrome,52338,0.450029078,1,162.75,87230,80%,90%,90%
180,healthcare,search engine,8895,16,18-34,South America,desktop,Android,Chrome,211457,0.753912142,1,555.9375,211457,90%,80%,90%
183,manufacturing,search engine,6828,50,55+,North America,desktop,Windows,Firefox,436314,0.47664744,1,136.56,727190,90%,70%,80%
184,manufacturing,influencer,14727,47,35-54,Asia-Pacific,desktop,iOS,Safari,20610,0.663701446,1,313.3404255,25762.5,90%,90%,70%
187,finance,search engine,47838,43,18-34,Africa,mobile,Windows,Chrome,111483,0.168205738,1,1112.511628,111483,80%,70%,90%
188,finance,email,31831,45,35-54,Africa,desktop,Android,Safari,405361,0.723602565,1,707.3555556,506701.25,90%,80%,70%
189,services,email,47044,83,35-54,Africa,desktop,Windows,Safari,437371,0.154930575,1,566.7951807,546713.75,90%,70%,70%
190,e-commerce,search engine,29814,76,35-54,North America,mobile,Windows,Safari,495546,0.280866142,1,392.2894737,619432.5,80%,70%,70%
192,services,content marketing,14663,49,18-34,North America,mobile,Android,Safari,363218,0.729115712,1,299.244898,363218,80%,80%,70%
194,finance,content marketing,43355,47,55+,Asia-Pacific,desktop,Windows,Firefox,231617,0.678542741,1,922.4468085,386028.3333,90%,70%,80%
197,healthcare,email,42380,10,35-54,Europe,tablet,Windows,Firefox,364233,0.603051735,1,4238,455291.25,70%,70%,80%
201,retail,search engine,24984,52,55+,South America,tablet,Windows,Safari,53142,0.247098111,1,480.4615385,88570,70%,70%,70%
205,services,social media,19072,39,55+,Africa,mobile,Android,Chrome,335033,0.173324968,1,489.025641,558388.3333,80%,80%,90%
208,services,search engine,45966,19,35-54,Asia-Pacific,mobile,Windows,Firefox,371841,0.628698088,1,2419.263158,464801.25,80%,70%,80%
209,e-commerce,search engine,36041,45,35-54,North America,desktop,Windows,Safari,154725,0.967408348,1,800.9111111,193406.25,90%,70%,70%
211,finance,search engine,8498,44,55+,North America,desktop,Android,Firefox,140836,0.215472626,1,193.1363636,234726.6667,90%,80%,80%
212,services,email,37256,36,55+,South America,tablet,Android,Firefox,412551,0.998770902,0,1034.888889,687585,70%,80%,80%
213,e-commerce,influencer,19905,20,55+,South America,mobile,Android,Safari,274012,0.058075065,1,995.25,456686.6667,80%,80%,70%
214,retail,content marketing,43274,56,55+,Africa,desktop,Windows,Safari,244600,0.810349371,1,772.75,407666.6667,90%,70%,70%
215,finance,influencer,29839,74,18-34,Africa,mobile,Android,Safari,73889,0.162176607,1,403.2297297,73889,80%,80%,70%
216,finance,influencer,7137,7,35-54,South America,mobile,Windows,Safari,111641,0.664785234,1,1019.571429,139551.25,80%,70%,70%
218,services,email,29508,9,18-34,South America,tablet,iOS,Firefox,212039,0.839025563,1,3278.666667,212039,70%,90%,80%
219,retail,email,20620,56,55+,North America,tablet,Windows,Firefox,39299,0.731091101,1,368.2142857,65498.33333,70%,70%,80%
221,technology,social media,41633,42,35-54,Asia-Pacific,tablet,Windows,Firefox,25257,0.665244998,1,991.2619048,31571.25,70%,70%,80%
222,healthcare,email,10460,10,55+,North America,mobile,Android,Safari,126176,0.217090982,1,1046,210293.3333,80%,80%,70%
224,services,social media,44666,20,55+,Europe,tablet,iOS,Chrome,272297,0.084116046,0,2233.3,453828.3333,70%,90%,90%
226,retail,content marketing,42697,13,35-54,Asia-Pacific,tablet,Android,Safari,125475,0.703877364,1,3284.384615,156843.75,70%,80%,70%
227,healthcare,content marketing,17722,14,55+,Europe,mobile,iOS,Safari,320057,0.992121624,1,1265.857143,533428.3333,80%,90%,70%
228,finance,social media,29694,50,35-54,South America,tablet,Windows,Chrome,73474,0.675792328,1,593.88,91842.5,70%,70%,90%
229,services,influencer,12214,70,18-34,Europe,mobile,iOS,Firefox,50294,0.708467178,1,174.4857143,50294,80%,90%,80%
233,finance,email,29055,31,18-34,Europe,desktop,Android,Safari,14690,0.604545685,1,937.2580645,14690,90%,80%,70%
236,retail,search engine,36917,70,18-34,North America,tablet,Windows,Chrome,145121,0.20866853,1,527.3857143,145121,70%,70%,90%
237,finance,search engine,6702,24,35-54,Asia-Pacific,desktop,Windows,Firefox,32735,0.064005327,0,279.25,40918.75,90%,70%,80%
238,services,search engine,25058,10,35-54,Asia-Pacific,mobile,Android,Safari,153560,0.088284535,1,2505.8,191950,80%,80%,70%
239,finance,search engine,46262,23,18-34,Asia-Pacific,desktop,Android,Chrome,140566,0.976302396,1,2011.391304,140566,90%,80%,90%
241,retail,influencer,17259,87,18-34,North America,mobile,Android,Chrome,297568,0.690164994,1,198.3793103,297568,80%,80%,90%
242,services,search engine,20892,51,55+,Asia-Pacific,mobile,Windows,Chrome,252183,0.887307542,1,409.6470588,420305,80%,70%,90%
244,services,social media,33544,9,35-54,South America,desktop,Windows,Chrome,45886,0.708114843,1,3727.111111,57357.5,90%,70%,90%
245,services,social media,5013,18,18-34,Asia-Pacific,mobile,Android,Safari,471886,0.348887292,1,278.5,471886,80%,80%,70%
247,services,influencer,47156,28,55+,South America,desktop,Windows,Firefox,491764,0.935698845,1,1684.142857,819606.6667,90%,70%,80%
249,finance,search engine,13090,45,35-54,Europe,tablet,iOS,Safari,122953,0.267174959,1,290.8888889,153691.25,70%,90%,70%
255,finance,email,13017,47,18-34,Asia-Pacific,mobile,Android,Chrome,447723,0.043930712,1,276.9574468,447723,80%,80%,90%
256,e-commerce,influencer,48678,63,35-54,Asia-Pacific,mobile,Windows,Safari,104463,0.138348914,1,772.6666667,130578.75,80%,70%,70%
257,retail,search engine,37948,34,35-54,Asia-Pacific,tablet,Windows,Safari,271357,0.968752516,0,1116.117647,339196.25,70%,70%,70%
258,retail,email,30993,83,18-34,Europe,tablet,iOS,Safari,52499,0.320128962,1,373.4096386,52499,70%,90%,70%
259,finance,email,41232,86,18-34,North America,tablet,iOS,Chrome,28855,0.267172471,1,479.4418605,28855,70%,90%,90%
263,technology,influencer,26063,59,18-34,Europe,mobile,Windows,Chrome,313427,0.144811623,1,441.7457627,313427,80%,70%,90%
264,finance,content marketing,19065,52,55+,North America,desktop,iOS,Safari,371580,0.974320479,1,366.6346154,619300,90%,90%,70%
266,e-commerce,email,6286,24,55+,Africa,desktop,Android,Chrome,417646,0.269195231,1,261.9166667,696076.6667,90%,80%,90%
267,manufacturing,influencer,39958,27,35-54,Europe,tablet,Windows,Safari,217795,0.634402781,1,1479.925926,272243.75,70%,70%,70%
268,manufacturing,influencer,46666,14,18-34,Africa,mobile,Android,Safari,226115,0.01661632,1,3333.285714,226115,80%,80%,70%
275,finance,content marketing,8389,68,18-34,Europe,desktop,Windows,Chrome,346803,0.974164128,1,123.3676471,346803,90%,70%,90%
278,finance,search engine,40608,62,35-54,North America,desktop,Windows,Chrome,405511,0.334744473,1,654.9677419,506888.75,90%,70%,90%
280,manufacturing,email,31627,14,55+,North America,tablet,Windows,Chrome,160249,0.391538043,1,2259.071429,267081.6667,70%,70%,90%
282,manufacturing,influencer,27945,18,55+,Africa,tablet,iOS,Firefox,231488,0.873392071,1,1552.5,385813.3333,70%,90%,80%
283,finance,content marketing,48913,54,35-54,Asia-Pacific,tablet,Android,Firefox,306849,0.205183169,0,905.7962963,383561.25,70%,80%,80%
284,finance,influencer,29944,69,35-54,Asia-Pacific,mobile,Windows,Safari,192179,0.296594354,1,433.9710145,240223.75,80%,70%,70%
285,e-commerce,influencer,22280,33,35-54,North America,mobile,iOS,Chrome,47446,0.930500127,1,675.1515152,59307.5,80%,90%,90%
286,e-commerce,social media,28251,41,18-34,Europe,mobile,Android,Chrome,92815,0.699594411,1,689.0487805,92815,80%,80%,90%
287,manufacturing,email,34235,8,18-34,Europe,tablet,Windows,Chrome,174188,0.064898795,1,4279.375,174188,70%,70%,90%
288,e-commerce,email,36896,14,18-34,South America,tablet,iOS,Firefox,302780,0.121613023,1,2635.428571,302780,70%,90%,80%
289,technology,email,44113,26,18-34,Europe,mobile,Windows,Safari,390793,0.579548231,1,1696.653846,390793,80%,70%,70%
290,e-commerce,content marketing,18322,14,35-54,Europe,mobile,Android,Firefox,272505,0.798754961,1,1308.714286,340631.25,80%,80%,80%
291,retail,content marketing,12747,69,35-54,Africa,mobile,Android,Chrome,189196,0.792806821,1,184.7391304,236495,80%,80%,90%
292,e-commerce,content marketing,37212,74,18-34,Africa,desktop,Android,Firefox,360805,0.424926014,1,502.8648649,360805,90%,80%,80%
293,services,search engine,49088,37,18-34,North America,mobile,iOS,Firefox,127204,0.258509299,1,1326.702703,127204,80%,90%,80%
298,manufacturing,influencer,47207,35,18-34,North America,tablet,Android,Firefox,32763,0.609729347,1,1348.771429,32763,70%,80%,80%
299,e-commerce,influencer,37403,24,18-34,Asia-Pacific,mobile,iOS,Chrome,49999,0.071635014,1,1558.458333,49999,80%,90%,90%
301,finance,social media,20413,18,18-34,Europe,tablet,Windows,Safari,363281,0.172945833,1,1134.055556,363281,70%,70%,70%
303,e-commerce,social media,11910,48,35-54,Europe,tablet,Windows,Chrome,171209,0.625494196,1,248.125,214011.25,70%,70%,90%
308,services,content marketing,13067,64,18-34,Africa,tablet,Windows,Safari,302714,0.463904674,1,204.171875,302714,70%,70%,70%
309,finance,content marketing,33235,39,35-54,Asia-Pacific,tablet,Android,Chrome,56186,0.963538829,1,852.1794872,70232.5,70%,80%,90%
315,healthcare,search engine,18182,71,18-34,North America,desktop,Windows,Firefox,51264,0.926719423,1,256.084507,51264,90%,70%,80%
318,services,search engine,40331,8,18-34,South America,desktop,Windows,Firefox,416165,0.696073449,1,5041.375,416165,90%,70%,80%
319,healthcare,email,40571,39,18-34,North America,tablet,Android,Safari,409185,0.101523039,0,1040.282051,409185,70%,80%,70%
320,services,content marketing,43977,12,55+,North America,mobile,iOS,Safari,192298,0.891785524,1,3664.75,320496.6667,80%,90%,70%
322,services,content marketing,23009,17,35-54,South America,tablet,Android,Firefox,114830,0.366647,1,1353.470588,143537.5,70%,80%,80%
323,finance,email,20789,11,18-34,Africa,desktop,Android,Safari,434195,0.840261712,1,1889.909091,434195,90%,80%,70%
324,e-commerce,email,38339,36,35-54,Asia-Pacific,tablet,iOS,Safari,278029,0.97921289,1,1064.972222,347536.25,70%,90%,70%
326,services,content marketing,34107,30,18-34,Asia-Pacific,tablet,Android,Safari,326469,0.383222843,1,1136.9,326469,70%,80%,70%
328,services,search engine,20014,73,18-34,Asia-Pacific,desktop,iOS,Firefox,495806,0.49799165,1,274.1643836,495806,90%,90%,80%
330,finance,search engine,43597,32,18-34,South America,desktop,iOS,Safari,249017,0.817118734,1,1362.40625,249017,90%,90%,70%
332,retail,content marketing,48477,88,35-54,Africa,tablet,Android,Safari,138190,0.80422872,1,550.875,172737.5,70%,80%,70%
333,e-commerce,email,26914,9,55+,Europe,mobile,iOS,Firefox,452269,0.299781419,1,2990.444444,753781.6667,80%,90%,80%
335,services,email,24881,48,18-34,Africa,desktop,Android,Safari,425483,0.618057822,1,518.3541667,425483,90%,80%,70%
342,retail,social media,30979,49,35-54,Asia-Pacific,desktop,Windows,Chrome,184638,0.580741439,1,632.2244898,230797.5,90%,70%,90%
347,manufacturing,influencer,45007,85,35-54,South America,tablet,Android,Firefox,62199,0.39926487,1,529.4941176,77748.75,70%,80%,80%
348,finance,influencer,19782,59,35-54,South America,desktop,iOS,Chrome,321678,0.651121766,1,335.2881356,402097.5,90%,90%,90%
350,manufacturing,search engine,19020,42,55+,South America,tablet,iOS,Safari,76242,0.432482371,1,452.8571429,127070,70%,90%,70%
351,retail,email,12420,69,55+,Europe,tablet,iOS,Firefox,419749,0.195400524,1,180,699581.6667,70%,90%,80%
353,e-commerce,social media,38637,73,18-34,Europe,mobile,Android,Firefox,264986,0.03468272,1,529.2739726,264986,80%,80%,80%
354,finance,content marketing,44210,85,55+,Europe,tablet,iOS,Chrome,341694,0.16762068,1,520.1176471,569490,70%,90%,90%
355,manufacturing,search engine,36453,39,18-34,North America,desktop,Windows,Chrome,331273,0.433941144,1,934.6923077,331273,90%,70%,90%
357,finance,search engine,35052,64,18-34,Europe,desktop,Windows,Firefox,38977,0.795899286,1,547.6875,38977,90%,70%,80%
358,manufacturing,content marketing,36061,32,55+,Europe,mobile,Windows,Firefox,246720,0.607692212,1,1126.90625,411200,80%,70%,80%
359,e-commerce,social media,38741,67,18-34,Africa,desktop,Windows,Firefox,194853,0.52005566,1,578.2238806,194853,90%,70%,80%
360,technology,influencer,36613,23,35-54,Asia-Pacific,desktop,iOS,Safari,226930,0.036366594,1,1591.869565,283662.5,90%,90%,70%
361,finance,influencer,30801,79,55+,Asia-Pacific,tablet,iOS,Firefox,109444,0.297899626,1,389.8860759,182406.6667,70%,90%,80%
362,finance,search engine,47762,75,18-34,Europe,desktop,iOS,Safari,400238,0.692270813,1,636.8266667,400238,90%,90%,70%
363,finance,content marketing,35230,35,55+,Europe,desktop,Windows,Firefox,348171,0.270514485,0,1006.571429,580285,90%,70%,80%
365,e-commerce,influencer,22572,12,55+,South America,mobile,Android,Safari,53516,0.603901079,1,1881,89193.33333,80%,80%,70%
367,finance,influencer,8443,27,18-34,Africa,mobile,iOS,Safari,197608,0.571594757,0,312.7037037,197608,80%,90%,70%
369,technology,email,33985,51,55+,Europe,desktop,Windows,Firefox,85310,0.726971307,1,666.372549,142183.3333,90%,70%,80%
370,technology,email,10684,41,35-54,Asia-Pacific,tablet,Windows,Safari,106317,0.022527686,0,260.5853659,132896.25,70%,70%,70%
372,finance,influencer,6321,52,55+,South America,desktop,iOS,Chrome,473608,0.870258374,1,121.5576923,789346.6667,90%,90%,90%
373,retail,influencer,19810,72,35-54,South America,mobile,Android,Safari,244950,0.580287198,1,275.1388889,306187.5,80%,80%,70%
378,retail,search engine,17704,22,18-34,Africa,desktop,Windows,Firefox,15919,0.811324707,1,804.7272727,15919,90%,70%,80%
380,finance,influencer,5164,7,18-34,Europe,tablet,iOS,Safari,456784,0.293473098,1,737.7142857,456784,70%,90%,70%
381,finance,email,10678,28,18-34,South America,desktop,Windows,Firefox,34141,0.943694521,1,381.3571429,34141,90%,70%,80%
382,healthcare,influencer,41105,54,55+,Asia-Pacific,mobile,iOS,Chrome,82439,0.165025214,0,761.2037037,137398.3333,80%,90%,90%
383,services,search engine,41118,32,18-34,Asia-Pacific,mobile,iOS,Chrome,431600,0.142007668,1,1284.9375,431600,80%,90%,90%
385,finance,content marketing,40297,64,18-34,South America,desktop,Android,Chrome,242344,0.124434331,1,629.640625,242344,90%,80%,90%
386,services,search engine,25996,13,35-54,South America,desktop,Android,Chrome,300408,0.252785186,1,1999.692308,375510,90%,80%,90%
389,finance,social media,10756,18,55+,Africa,desktop,Windows,Safari,265423,0.76346169,1,597.5555556,442371.6667,90%,70%,70%
390,finance,content marketing,45873,37,18-34,South America,tablet,iOS,Firefox,325923,0.575571005,1,1239.810811,325923,70%,90%,80%
391,finance,search engine,29603,33,35-54,South America,tablet,Windows,Safari,363546,0.492610763,1,897.0606061,454432.5,70%,70%,70%
393,technology,email,28308,87,35-54,Africa,desktop,Android,Safari,13246,0.874643457,1,325.3793103,16557.5,90%,80%,70%
395,e-commerce,search engine,36256,40,18-34,Africa,desktop,iOS,Firefox,324118,0.89152179,1,906.4,324118,90%,90%,80%
396,healthcare,email,37961,43,35-54,Africa,tablet,Windows,Chrome,319784,0.27553969,1,882.8139535,399730,70%,70%,90%
397,retail,social media,30167,64,18-34,Asia-Pacific,desktop,Windows,Safari,161916,0.157319337,1,471.359375,161916,90%,70%,70%
400,manufacturing,search engine,11401,51,35-54,North America,desktop,Windows,Chrome,130158,0.925887685,1,223.5490196,162697.5,90%,70%,90%
401,services,search engine,39505,51,55+,North America,desktop,Android,Safari,393921,0.177309608,1,774.6078431,656535,90%,80%,70%
402,services,influencer,23445,38,18-34,Europe,tablet,iOS,Chrome,1427,0.579901661,1,616.9736842,1427,70%,90%,90%
407,services,influencer,37235,45,55+,North America,tablet,Android,Safari,201646,0.85610881,1,827.4444444,336076.6667,70%,80%,70%
409,technology,email,12599,51,18-34,Asia-Pacific,mobile,Windows,Safari,12292,0.938188757,1,247.0392157,12292,80%,70%,70%
412,finance,email,24635,76,35-54,Asia-Pacific,mobile,Android,Safari,250613,0.230622714,1,324.1447368,313266.25,80%,80%,70%
